"career.stage","personality.experience","country","personality.definition","personality.interpretation","repeatability.interpretation","repeatability.consistency","repeatability.comparison","single.measurements","unpartitioned.data","personality.data","comments","personality.definition.2","personality.interpretation.2","repeatability.interpretation.2","repeatability.comparison.2"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","e) I do not know the answer","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","e) I do not know the answer"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","d) Neither interpretations a) nor b) can be made","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","d) Neither interpretations a) nor b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","UK","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","UK","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","I do not know","e) Both b) and c) are correct",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","No","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","N/A","N/A","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","Yes","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","Yes","e) Both b) and c) are correct","These are important questions to be asking -- I'm curious to see the results!","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","Australia","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Germany","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","I do not know","d) Neither interpretations a) nor b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual","Tricky questions, took me much longer than 5min to answer","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Israel","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","No","c) Repeated behavioural measurements per individual","Good Luck with the Survey, curios to know how far I'm from the community common ground","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","c) Both a) and b) are correct","I do not know","c) Both interpretations a) and b) can be made","No","I do not know","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Spain","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","No","N/A","d) Three previous options are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","Above","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","other","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Australia","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","c) Both interpretations a) and b) can be made","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Spain","Consistent between-individual differences in behaviour across time and/or contexts","Set of consistent behavioural traits related to biological and physiological processes","d) I do not know the answer","I do not know","e) I do not know the answer","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","other","d) I do not know the answer","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","UK","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","e) I do not know the answer","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","e) I do not know the answer"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Finland","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual","This survey/review is an excellent idea! Filling out this survey made me realize that actually I'm not so sure sometimes which (statistical) terms mean exactly what and I should re-read all the available literature on personality and plasticity and the statistical tools available. Thanks!","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Italy","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","N/A","e) Both b) and c) are correct","Although I feel b and c are correct in previous question, I always use more than one behaviour and in my study system also more than one test method (e.g. open field test + mirror image stimulation; or OFT + indirect indices from trapping data)","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","Yes","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Canada","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Canada","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","Yes","c) Repeated behavioural measurements per individual","Personality needs both many measures and repetition across time.  It is often misused when not having both of these features.","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","Yes","No","c) Repeated behavioural measurements per individual","It is uncommon to control for nutritional status or other potencial confounding factors","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","Austria","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","UK","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","Consistent individual differences in behaviour - in some form - this could even include CIDs in the extent of plasticity exhibited (so not just the intercept of the reaction norm, but also the slope should be considered)","the proportion of between-individual variance relative to the total phenotypic variance in a population/sample across repeated measures","Yes","d) Neither interpretations a) nor b) can be made","No","Yes","c) Repeated behavioural measurements per individual","I regard 'personality' as a vague term, used largely to attract publicity and 'sell'  research, or make research approachable by the lay-public. Arguably 'personality' should not be used when referring to non-human animals, as it has the term 'person' in the word!  What we are examining here is 'individuality', beyond coarse sex, age, status or state drivers of individual differences. The definitions in (1) above arguably represent a scale (if re-arranged a little) of increasingly complex (or extensive) patterns of consistent individual differences, from  single behaviours to suites of behaviours that exhibit CIDs across time and contexts. So, researchers should be able to examine data at any of these levels, so long as they are clear about what level they are using.","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","other","other","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Sweden","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","e) Both b) and c) are correct",NA,"Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","c) Both a) and b) are correct","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Canada","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts AND variation among individuals in the intercept of their behavioral reaction norm.","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","c) Both interpretations a) and b) can be made","No","Yes","b) A single behavioural measurement per individual if the focal behaviour is repeatable",NA,"other","c) Both a) and b) are correct","c) Both a) and b) are correct","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Australia","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a co-author","USA","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","No","d) Neither interpretations a) nor b) can be made","No","I do not know","c) Repeated behavioural measurements per individual",NA,"Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","d) I do not know the answer","d) Neither interpretations a) nor b) can be made"
"PhD researcher","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","I do not know","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","a) (Relative) amount of phenotypic plasticity in trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","USA","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","d) Neither interpretations a) nor b) can be made","No","Yes, but I was not aware of it when I used it","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"PhD researcher","No","USA","Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"PhD researcher","No","USA","Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Bulgaria","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","N/A","N/A","e) Both b) and c) are correct",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","c) Both a) and b) are correct","c) Both a) and b) are correct","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","Brazil","Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","c) Both interpretations a) and b) can be made","No","No","e) Both b) and c) are correct",NA,"Consistent between-individual differences in whole suites of correlated behaviours across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","France","Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","c) Both interpretations a) and b) can be made","N/A","N/A","c) Repeated behavioural measurements per individual",NA,"Consistent between-individual differences in behaviour across time and/or contexts","c) Both a) and b) are correct","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","c) Both interpretations a) and b) can be made"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","No","Germany","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","I do not know","e) I do not know the answer","No","No","c) Repeated behavioural measurements per individual",NA,"Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","d) I do not know the answer","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","e) I do not know the answer"
"Early-career researcher (i.e., have completed their doctorate degree within the past 5 years)","Yes, as a lead, corresponding or senior author","USA","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","I do not know","c) Repeated behavioural measurements per individual","Thanks for doing this study!","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","a) Limited phenotypic plasticity in behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Italy","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","I do not know","c) Repeated behavioural measurements per individual","in response to question 8 I would also argue that not only should there be repeated measurments of one type of behaviour (or personality test), but ideally also several types of behaviour/tests","Consistent between-individual differences in behaviour across time and/or contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Finland","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","d) Neither interpretations a) nor b) can be made","Yes","Yes","c) Repeated behavioural measurements per individual","Questions 6-8 can be interpreted in multiple ways. Yes, one can include single observations of a behavioural trait for multiple individuals in studies on animal personality. No, one can't determine whether a trait constitutes as personality trait when your data consists of single observations per individual on that particular trait. ","Within-individual and between-individual consistency in behaviours across time and/or ecological contexts","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","d) Neither interpretations a) nor b) can be made"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a co-author","Canada","Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","No","a) Group “A” expresses less plasticity in their trait expression than group “B”","No","No","c) Repeated behavioural measurements per individual",NA,"Variation among individuals in the intercept of their behavioural reaction norm","b) Individual differences in average behavioural expression in a sample of individuals","b) (Relative) amount of individual differences in average trait expression in a sample of individuals","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"PhD researcher","Yes, as a lead, corresponding or senior author","Canada","Between-individual differences in repeatable behavior.","b) Individual differences in average behavioural expression in a sample of individuals","a measure of the behavioral variation in a population that is due to differences between individuals","Yes","a) Group “A” expresses less plasticity in their trait expression than group “B”","Yes","I do not know","e) Both b) and c) are correct","For me, the most important thing to remember in animal behavior research is that personality is a population level trait, not an individual level trait.","other","b) Individual differences in average behavioural expression in a sample of individuals","other","a) Group “A” expresses less plasticity in their trait expression than group “B”"
"Senior researcher (i.e., have completed their doctorate degree more than 5 years ago)","Yes, as a lead, corresponding or senior author","Germany","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","consistency in behavioural differences, at least over a certain time of ontogeny","Yes","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”","No","No","c) Repeated behavioural measurements per individual","Regarding 8: more than 1 behaviour need to be measured repeatedly per individual!","Between-individual differences in behavioural tendencies across contexts and within-individual consistency over time","b) Individual differences in average behavioural expression in a sample of individuals","other","b) Individuals differ more from each other in their average trait expression in group “A” than in group “B”"
